z lipid2 substrate bME protein lipid1 headgroup2 headgroup2_2 normarea tetherg headgroup1_2 methyl1 tether methyl2 headgroup1 summol water waterperc
65.0 0.035131 0.0 0.0 0.0 0.000191 0.763696 0.179373 184.0 0.0 0.0 0.000254 0.0 0.000278 0.0 0.978923 183.021077 0.994679766304
65.5 0.024201 0.0 0.0 0.0 0.000117 0.620608 0.141944 184.0 0.0 0.0 0.00016 0.0 0.000177 0.0 0.787207 183.212793 0.995721701087
66.0 0.016511 0.0 0.0 0.0 7.1e-05 0.499998 0.111304 184.0 0.0 0.0 0.0001 0.0 0.000112 0.0 0.628096 183.371904 0.996586434783
66.5 0.011156 0.0 0.0 0.0 4.2e-05 0.399348 0.08648 184.0 0.0 0.0 6.2e-05 0.0 7e-05 0.0 0.497158 183.502842 0.997298054348
67.0 0.007465 0.0 0.0 0.0 2.5e-05 0.316187 0.066577 184.0 0.0 0.0 3.8e-05 0.0 4.3e-05 0.0 0.390335 183.609665 0.99787861413
67.5 0.004947 0.0 0.0 0.0 1.5e-05 0.248156 0.050783 184.0 0.0 0.0 2.3e-05 0.0 2.7e-05 0.0 0.303951 183.696049 0.998348092391
68.0 0.003246 0.0 0.0 0.0 9e-06 0.193052 0.038379 184.0 0.0 0.0 1.4e-05 0.0 1.6e-05 0.0 0.234716 183.765284 0.998724369565
68.5 0.00211 0.0 0.0 0.0 5e-06 0.148857 0.028736 184.0 0.0 0.0 8e-06 0.0 1e-05 0.0 0.179726 183.820274 0.999023228261
69.0 0.001358 0.0 0.0 0.0 3e-06 0.11376 0.021316 184.0 0.0 0.0 5e-06 0.0 6e-06 0.0 0.136448 183.863552 0.999258434783
69.5 0.000866 0.0 0.0 0.0 2e-06 0.086163 0.015664 184.0 0.0 0.0 3e-06 0.0 3e-06 0.0 0.102701 183.897299 0.999441842391
70.0 0.000546 0.0 0.0 0.0 1e-06 0.064675 0.011404 184.0 0.0 0.0 2e-06 0.0 2e-06 0.0 0.07663 183.92337 0.999583532609
70.5 0.000341 0.0 0.0 0.0 0.0 0.048109 0.008224 184.0 0.0 0.0 1e-06 0.0 1e-06 0.0 0.056676 183.943324 0.999691978261
71.0 0.000211 0.0 0.0 0.0 0.0 0.035463 0.005875 184.0 0.0 0.0 1e-06 0.0 1e-06 0.0 0.041551 183.958449 0.999774179348
71.5 0.00013 0.0 0.0 0.0 0.0 0.025903 0.004158 184.0 0.0 0.0 0.0 0.0 0.0 0.0 0.030191 183.969809 0.999835918478
72.0 7.9e-05 0.0 0.0 0.0 0.0 0.018748 0.002915 184.0 0.0 0.0 0.0 0.0 0.0 0.0 0.021742 183.978258 0.999881836957
72.5 4.7e-05 0.0 0.0 0.0 0.0 0.013445 0.002024 184.0 0.0 0.0 0.0 0.0 0.0 0.0 0.015516 183.984484 0.999915673913
73.0 2.8e-05 0.0 0.0 0.0 0.0 0.009554 0.001392 184.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010974 183.989026 0.999940358696
73.5 1.7e-05 0.0 0.0 0.0 0.0 0.006726 0.000948 184.0 0.0 0.0 0.0 0.0 0.0 0.0 0.007691 183.992309 0.999958201087
74.0 1e-05 0.0 0.0 0.0 0.0 0.004691 0.00064 184.0 0.0 0.0 0.0 0.0 0.0 0.0 0.005341 183.994659 0.999970972826
74.5 6e-06 0.0 0.0 0.0 0.0 0.003242 0.000428 184.0 0.0 0.0 0.0 0.0 0.0 0.0 0.003676 183.996324 0.999980021739
75.0 3e-06 0.0 0.0 0.0 0.0 0.002219 0.000283 184.0 0.0 0.0 0.0 0.0 0.0 0.0 0.002505 183.997495 0.99998638587
75.5 2e-06 0.0 0.0 0.0 0.0 0.001505 0.000186 184.0 0.0 0.0 0.0 0.0 0.0 0.0 0.001693 183.998307 0.999990798913
76.0 1e-06 0.0 0.0 0.0 0.0 0.001011 0.00012 184.0 0.0 0.0 0.0 0.0 0.0 0.0 0.001132 183.998868 0.999993847826
76.5 1e-06 0.0 0.0 0.0 0.0 0.000673 7.7e-05 184.0 0.0 0.0 0.0 0.0 0.0 0.0 0.000751 183.999249 0.999995918478
77.0 0.0 0.0 0.0 0.0 0.0 0.000444 4.9e-05 184.0 0.0 0.0 0.0 0.0 0.0 0.0 0.000493 183.999507 0.999997320652
