p2sigma m2sigma msigma psigma zaxis mean
28.128757032 17.969356623 22.456928068 25.304807154 138.0 24.153928
28.237911415 18.016701509 22.516818629 25.396309795 138.5 24.2207295
28.367507997 18.102237624 22.603938119 25.498958737 139.0 24.316938
28.516246877 18.145247259 22.696891979 25.630942885 139.5 24.454902
28.682829154 18.15287592 22.828262792 25.808732803 140.0 24.6001125
28.865955346 18.174810553 22.982704827 26.008790842 140.5 24.7557625
29.064327079 18.273327865 23.214820413 26.199054709 141.0 24.9391555
29.149718679 18.425985164 23.408644952 26.380498897 141.5 25.1473205
29.415928655 18.596347161 23.617715945 26.625223739 142.0 25.3532675
29.713139195 18.778171049 23.831161601 26.873015206 142.5 25.5766065
30.058861225 18.945116857 24.025246618 27.109985131 143.0 25.8166125
30.382258065 19.076676869 24.286454783 27.39929447 143.5 26.077089
30.708282956 19.218492936 24.527067688 27.688999663 144.0 26.334812
31.001770056 19.420929164 24.768929097 27.990116358 144.5 26.5988435
31.242187625 19.572960045 25.035862181 28.298607329 145.0 26.890227
31.485163105 19.708090779 25.281391747 28.609107668 145.5 27.184046
31.767798864 19.924601087 25.564944336 28.922160621 146.0 27.4764315
32.05688167 20.141568002 25.832873816 29.233441173 146.5 27.774979
32.284455053 20.360592323 26.12615812 29.560409987 147.0 28.0770905
32.542400591 20.57799037 26.390796662 29.895303218 147.5 28.3813555
32.835976024 20.768759056 26.655331032 30.183713944 148.0 28.6776375
33.124300116 20.952024094 26.914036191 30.468385203 148.5 28.970004
33.40537456 21.135233242 27.176422306 30.781228237 149.0 29.2471305
33.676684323 21.317381813 27.426382393 31.06168613 149.5 29.536673
33.938213127 21.497462485 27.647434462 31.338195993 150.0 29.8077125
34.188416872 21.674471517 27.878973807 31.599461132 150.5 30.081117
34.381762877 21.830277776 28.139073811 31.869503929 151.0 30.3479725
34.578915867 21.947524238 28.37055317 32.132706782 151.5 30.603488
34.808693652 22.050861049 28.610878737 32.316865221 152.0 30.8352145
35.022523175 22.14609874 28.792005314 32.513121397 152.5 31.0622045
35.217776304 22.232504394 29.000096894 32.719718427 153.0 31.2688355
35.365353842 22.368325623 29.169604779 32.909132612 153.5 31.4636885
35.493052469 22.541743538 29.33432188 33.09164487 154.0 31.6331975
35.603113549 22.707310488 29.484363891 33.209714295 154.5 31.780578
35.714239333 22.864252085 29.576904916 33.316414406 155.0 31.9126745
35.83069643 22.939313996 29.647277547 33.443194679 155.5 32.0128475
35.910067381 22.992877494 29.720938773 33.52694979 156.0 32.084503
35.794955288 23.030984882 29.752745072 33.520719335 156.5 32.1233695
35.848962788 23.052735819 29.804589739 33.459880301 157.0 32.1620015
35.744567356 23.114413515 29.824732692 33.402897286 157.5 32.160408
35.529233074 23.164213004 29.792873205 33.245336595 158.0 32.1233505
35.223172594 23.198613669 29.648059752 33.092743331 158.5 32.013451
34.889030015 23.209340282 29.429606855 32.855138227 159.0 31.8092235
34.566468892 23.296569024 29.148490275 32.517987374 159.5 31.4912315
34.177497839 23.217093446 28.817864917 32.09180549 160.0 31.1054045
33.733469086 23.15059857 28.422748468 31.625110802 160.5 30.662354
33.223357051 22.833216811 28.042669183 31.091190611 161.0 30.1698115
32.623850651 22.283761915 27.589511066 30.546975411 161.5 29.614573
31.950181484 21.991336076 27.057723325 29.919936117 162.0 29.034923
31.28742687 21.837426807 26.484676837 29.283796644 162.5 28.423564
30.628729636 21.43729755 25.927787813 28.655629017 163.0 27.81534
30.000667214 21.061604947 25.397945009 27.988250758 163.5 27.190748
29.360482928 20.70843626 24.853287793 27.350295348 164.0 26.5647405
28.697132228 20.341103783 24.271219253 26.784773901 164.5 25.9796315
28.106507204 19.913604343 23.763359546 26.186816535 165.0 25.4013335
27.526545767 19.619411626 23.265008508 25.610977519 165.5 24.8406395
27.014370039 19.189769594 22.821154583 25.086271076 166.0 24.300541
26.4984246 18.789055207 22.389176587 24.599484884 166.5 23.806353
25.984205257 18.419686318 21.953980051 24.110691172 167.0 23.34491
25.541156399 18.047361135 21.505740056 23.684699426 167.5 22.907539
25.096812294 17.643160679 21.05990767 23.216189869 168.0 22.4703815
24.599520465 17.213473971 20.625560499 22.769766368 168.5 22.011293
24.108142652 16.808569361 20.203767874 22.317438376 169.0 21.558415
23.61378858 16.404981508 19.749689657 21.841014537 169.5 21.1047905
23.06382744 16.061325566 19.336227005 21.386045166 170.0 20.644727
22.479496896 15.705599383 18.867219145 20.909647513 170.5 20.1897975
21.998630703 15.358011538 18.424088524 20.4355229 171.0 19.7313995
21.541190028 14.952182792 18.0110595 19.974540041 171.5 19.2756115
21.000369159 14.525649632 17.594062592 19.519890676 172.0 18.822717
20.570646448 14.138113951 17.147571814 19.081899379 172.5 18.38648
20.127665915 13.840407078 16.739134548 18.649055655 173.0 17.950101
19.724367371 13.344127021 16.354789333 18.249702864 173.5 17.514296
19.382368027 12.990382814 15.943541246 17.85209065 174.0 17.10511
18.94649983 12.71020328 15.548374575 17.468683093 174.5 16.719991
18.581123542 12.403193019 15.160394503 17.074116885 175.0 16.339482
18.257254551 12.057472348 14.798660454 16.757221907 175.5 15.983299
17.941171081 11.729684258 14.464908548 16.394887984 176.0 15.6467325
17.657793972 11.425815561 14.153598274 16.057905169 176.5 15.334349
17.411192248 11.108463726 13.890197292 15.80335881 177.0 15.0476315
17.161365598 10.7855166 13.648453995 15.564794446 177.5 14.783281
16.976023436 10.547916495 13.408396656 15.346704153 178.0 14.546038
16.767330803 10.303847547 13.225925449 15.15031915 178.5 14.342388
16.619067855 9.993816016 13.0287721 14.950229158 179.0 14.1648385
16.463292325 9.778417585 12.868245733 14.796290565 179.5 14.0026765
16.308297779 9.552898851 12.70666471 14.666728356 180.0 13.8627665
16.156615963 9.349003264 12.559062201 14.540071918 180.5 13.7333175
16.054921165 9.095056167 12.436568933 14.421424838 181.0 13.620165
15.939965499 8.950102579 12.339418672 14.326137051 181.5 13.5142165
15.837663309 8.874455734 12.243777211 14.232131456 182.0 13.4245055
15.7347713 8.747524342 12.143042825 14.149236637 182.5 13.344806
15.619889541 8.616666388 12.069269002 14.07436073 183.0 13.282909
15.560216778 8.490295033 11.981295338 14.012234156 183.5 13.2335885
15.534991024 8.377615992 11.934986631 13.964693721 184.0 13.19328
15.481042742 8.278323157 11.92715134 13.927932579 184.5 13.1550035
15.421160575 8.191827367 11.90734066 13.900935567 185.0 13.131025
15.370565881 8.130168687 11.886703176 13.878732536 185.5 13.1134295
15.371426487 8.090750941 11.860017584 13.880898769 186.0 13.0981575
15.38440397 8.062074417 11.85447208 13.881066721 186.5 13.0986385
15.405438349 8.043486578 11.871104863 13.875430581 187.0 13.1069025
15.427747885 8.03433436 11.883971137 13.881189131 187.5 13.1347275
15.445093974 8.033966226 11.912260099 13.887145916 188.0 13.1598395
15.450188582 8.076091197 11.92259833 13.907541373 188.5 13.1962235
15.470540029 8.205921974 11.934122762 13.971057371 189.0 13.2453255
15.524508902 8.270795764 11.958331487 14.001763809 189.5 13.290088
15.563395924 8.351859176 11.979607578 14.040685781 190.0 13.3371725
15.596573149 8.441049169 12.026727219 14.102995668 190.5 13.393069
15.64026683 8.529499936 12.104188084 14.163477953 191.0 13.451415
15.682035585 8.589806308 12.169213856 14.230879745 191.5 13.521517
15.765364339 8.682128488 12.200299364 14.304182541 192.0 13.6021675
15.86889115 8.802555712 12.258962686 14.389915914 192.5 13.6830935
15.980171472 8.914902693 12.303343266 14.463970268 193.0 13.7574845
16.075057178 8.979192798 12.355387223 14.554691035 193.5 13.8402315
16.171949917 9.051060175 12.414795545 14.638254192 194.0 13.926514
16.278820055 9.129891301 12.489541056 14.736066515 194.5 14.0125455
16.370939996 9.215075072 12.560329715 14.833753009 195.0 14.0964025
16.465806057 9.307144508 12.662233578 14.934358926 195.5 14.18796
16.597229182 9.352591781 12.759832259 15.031731449 196.0 14.302541
16.73784512 9.395948679 12.873643024 15.156992472 196.5 14.4357495
16.849132553 9.442337388 13.010291671 15.303179941 197.0 14.5822545
16.997644221 9.500305696 13.154651683 15.473395061 197.5 14.7441455
17.164688339 9.576288321 13.323254489 15.654721512 198.0 14.91789
