# Q Iq dIq dQ fit
1.660000000000000087e-01 7.015000000000000124e-01 3.592999999999999840e-03 9.747000000000000455e-03 6.977216230515065343e-01
1.711999999999999911e-01 6.915000000000000036e-01 3.500000000000000073e-03 9.939999999999999183e-03 6.931512227941137860e-01
1.763000000000000123e-01 6.927999999999999714e-01 2.932999999999999843e-03 1.013000000000000012e-02 6.893623936905231009e-01
1.814999999999999947e-01 6.915000000000000036e-01 3.276999999999999965e-03 1.033000000000000064e-02 6.861130153789857244e-01
1.865999999999999881e-01 6.892000000000000348e-01 3.108999999999999785e-03 1.052999999999999943e-02 6.836870004699221459e-01
1.917000000000000093e-01 6.814999999999999947e-01 3.203999999999999817e-03 1.072999999999999995e-02 6.815420362142897703e-01
1.968000000000000027e-01 6.803000000000000158e-01 2.990000000000000036e-03 1.093000000000000048e-02 6.798248442678560544e-01
2.018999999999999961e-01 6.774000000000000021e-01 2.749999999999999840e-03 1.112999999999999927e-02 6.784805406961127439e-01
2.069999999999999896e-01 6.777999999999999581e-01 2.848999999999999970e-03 1.132999999999999979e-02 6.774466373592111790e-01
2.121000000000000107e-01 6.830000000000000515e-01 3.034999999999999937e-03 1.153000000000000032e-02 6.766622555541775830e-01
2.172000000000000042e-01 6.814999999999999947e-01 2.781000000000000052e-03 1.174000000000000044e-02 6.760766500457214834e-01
2.222999999999999976e-01 6.713999999999999968e-01 2.916999999999999888e-03 1.193999999999999923e-02 6.756598023844875289e-01
2.273000000000000020e-01 6.734999999999999876e-01 2.736999999999999850e-03 1.214999999999999934e-02 6.753938516528738001e-01
2.323000000000000065e-01 6.754000000000000004e-01 2.583999999999999925e-03 1.234999999999999987e-02 6.752735689618318826e-01
2.373999999999999999e-01 6.734999999999999876e-01 2.736000000000000151e-03 1.255999999999999998e-02 6.752336444500249835e-01
2.424000000000000044e-01 6.721000000000000307e-01 2.928000000000000047e-03 1.277000000000000010e-02 6.752800382590419259e-01
2.474000000000000088e-01 6.722000000000000197e-01 2.997999999999999797e-03 1.297000000000000063e-02 6.753874657361814693e-01
2.524000000000000132e-01 6.719000000000000528e-01 2.861999999999999961e-03 1.318000000000000074e-02 6.755420276286944192e-01
2.572999999999999732e-01 6.722000000000000197e-01 2.624000000000000030e-03 1.339000000000000086e-02 6.757190009947601217e-01
2.622999999999999776e-01 6.684999999999999831e-01 2.785999999999999848e-03 1.359999999999999924e-02 6.759108653411607381e-01
2.671999999999999931e-01 6.694999999999999840e-01 2.673000000000000029e-03 1.380999999999999936e-02 6.761001025736785852e-01
2.721999999999999975e-01 6.750000000000000444e-01 2.864999999999999925e-03 1.401999999999999948e-02 6.762765331229062538e-01
2.771000000000000130e-01 6.702000000000000179e-01 2.492999999999999990e-03 1.422000000000000000e-02 6.764435263400704335e-01
2.819999999999999729e-01 6.735999999999999766e-01 2.660000000000000038e-03 1.443000000000000012e-02 6.765945819940315520e-01
2.868999999999999884e-01 6.719000000000000528e-01 2.814999999999999794e-03 1.464000000000000024e-02 6.767265128877293368e-01
2.917000000000000148e-01 6.731000000000000316e-01 2.732000000000000053e-03 1.485000000000000035e-02 6.768355753629760052e-01
2.965999999999999748e-01 6.712000000000000188e-01 2.618000000000000101e-03 1.506000000000000047e-02 6.769267704104263705e-01
3.014999999999999902e-01 6.680000000000000382e-01 2.840000000000000076e-03 1.527000000000000059e-02 6.769969216534398315e-01
3.063000000000000167e-01 6.713000000000000078e-01 2.944000000000000002e-03 1.546999999999999938e-02 6.770434156579608898e-01
3.110999999999999877e-01 6.710000000000000409e-01 2.920999999999999985e-03 1.567999999999999949e-02 6.770602781667234282e-01
3.159000000000000141e-01 6.703999999999999959e-01 3.010999999999999788e-03 1.589000000000000135e-02 6.770530960407110665e-01
3.206999999999999851e-01 6.722000000000000197e-01 3.039000000000000035e-03 1.609999999999999973e-02 6.770185684036358342e-01
3.254000000000000226e-01 6.773000000000000131e-01 3.011999999999999920e-03 1.631000000000000158e-02 6.769587769648570674e-01
3.301999999999999935e-01 6.724999999999999867e-01 3.168999999999999942e-03 1.651000000000000037e-02 6.768754653998698689e-01
3.348999999999999755e-01 6.719000000000000528e-01 3.075000000000000042e-03 1.671999999999999875e-02 6.767770026304641418e-01
3.397000000000000020e-01 6.695999999999999730e-01 3.170000000000000075e-03 1.693000000000000060e-02 6.766651911304593092e-01
3.443999999999999839e-01 6.784000000000000030e-01 3.102999999999999856e-03 1.712999999999999939e-02 6.765476723232927148e-01
3.489999999999999769e-01 6.746999999999999664e-01 3.412999999999999801e-03 1.734000000000000125e-02 6.764349409922842948e-01
3.537000000000000144e-01 6.776999999999999691e-01 3.089999999999999865e-03 1.754000000000000004e-02 6.763170011570885931e-01
3.583999999999999964e-01 6.788999999999999480e-01 2.985999999999999939e-03 1.774999999999999842e-02 6.762005320033835920e-01
3.629999999999999893e-01 6.776999999999999691e-01 3.073000000000000211e-03 1.795000000000000068e-02 6.760885857876691718e-01
3.675999999999999823e-01 6.788999999999999480e-01 3.263999999999999974e-03 1.814999999999999947e-02 6.759769961588220077e-01
3.721999999999999753e-01 6.754000000000000004e-01 3.315999999999999937e-03 1.836000000000000132e-02 6.758728515603719122e-01
3.768000000000000238e-01 6.830000000000000515e-01 3.230999999999999931e-03 1.856000000000000011e-02 6.757745351609946161e-01
3.814000000000000168e-01 6.762000000000000233e-01 3.295000000000000186e-03 1.875999999999999890e-02 6.756859352166377786e-01
3.859000000000000208e-01 6.752000000000000224e-01 3.114000000000000015e-03 1.897000000000000075e-02 6.755997583964562514e-01
3.905000000000000138e-01 6.745999999999999774e-01 3.203000000000000118e-03 1.916999999999999954e-02 6.755170832481321996e-01
3.950000000000000178e-01 6.744999999999999885e-01 3.115999999999999846e-03 1.936999999999999833e-02 6.754429041493266173e-01
3.995000000000000218e-01 6.726999999999999647e-01 3.529000000000000019e-03 1.957000000000000059e-02 6.753749874523693464e-01
4.040000000000000258e-01 6.834000000000000075e-01 3.086000000000000201e-03 1.976999999999999938e-02 6.753132761481992485e-01
4.083999999999999853e-01 6.838999999999999524e-01 3.506000000000000002e-03 1.997000000000000164e-02 6.752588323671344650e-01
4.128999999999999893e-01 6.706999999999999629e-01 3.481999999999999852e-03 2.016000000000000084e-02 6.752125684861988164e-01
4.173000000000000043e-01 6.720000000000000417e-01 3.346000000000000016e-03 2.035999999999999963e-02 6.751692515850402643e-01
4.217000000000000193e-01 6.756999999999999673e-01 3.523999999999999789e-03 2.055999999999999842e-02 6.751308783508860323e-01
4.260999999999999788e-01 6.762000000000000233e-01 3.158999999999999916e-03 2.076000000000000068e-02 6.750970982348885041e-01
4.304999999999999938e-01 6.710000000000000409e-01 3.471000000000000127e-03 2.094999999999999987e-02 6.750675215160664155e-01
4.348000000000000198e-01 6.743999999999999995e-01 3.625000000000000184e-03 2.114999999999999866e-02 6.750422963549055355e-01
4.391999999999999793e-01 6.767999999999999572e-01 4.068999999999999700e-03 2.134000000000000133e-02 6.750222036929099945e-01
4.435000000000000053e-01 6.766999999999999682e-01 3.769999999999999914e-03 2.154000000000000012e-02 6.750036266197894097e-01
4.477999999999999758e-01 6.760000000000000453e-01 3.755000000000000091e-03 2.172999999999999932e-02 6.749878905929919126e-01
4.521000000000000019e-01 6.758999999999999453e-01 4.041000000000000321e-03 2.191999999999999851e-02 6.749747571853768058e-01
4.562999999999999834e-01 6.764999999999999902e-01 3.730999999999999941e-03 2.211000000000000118e-02 6.749641245703483783e-01
4.606000000000000094e-01 6.752000000000000224e-01 3.520000000000000125e-03 2.230000000000000038e-02 6.749553468040231374e-01
4.647999999999999909e-01 6.725999999999999757e-01 4.303999999999999666e-03 2.248999999999999957e-02 6.749484915807015817e-01
4.689999999999999725e-01 6.791000000000000369e-01 3.641999999999999838e-03 2.267999999999999877e-02 6.749438925942802259e-01
4.732000000000000095e-01 6.702000000000000179e-01 3.931999999999999731e-03 2.287000000000000144e-02 6.749396737177671968e-01
4.773999999999999910e-01 6.758999999999999453e-01 3.567999999999999991e-03 2.306000000000000064e-02 6.749365135396727666e-01
4.814999999999999836e-01 6.725999999999999757e-01 3.671999999999999917e-03 2.324999999999999983e-02 6.749342500362913722e-01
4.855999999999999761e-01 6.790000000000000480e-01 3.853999999999999787e-03 2.343999999999999903e-02 6.749325735919649016e-01
4.897000000000000242e-01 6.807999999999999607e-01 3.566999999999999858e-03 2.361999999999999864e-02 6.749313527106021171e-01
4.938000000000000167e-01 6.808999999999999497e-01 3.937999999999999660e-03 2.381000000000000130e-02 6.749310016397324086e-01
4.979000000000000092e-01 6.754000000000000004e-01 3.876999999999999804e-03 2.399000000000000091e-02 6.749306722829283567e-01
