median_area p2sigma_nsld m2sigma_nsld p2sigma_area median_nsl m2sigma_nsl m2sigma_area psigma_area msigma_nsl msigma_nsld p2sigma_nsl zaxis psigma_nsld psigma_nsl median_nsld msigma_area 
1.352738 5.17864824543e-06 0.0 8.662591456 2.161278e-06 0.0 0.0 3.850741488 1.446274584e-07 1.83072375636e-06 9.948071016e-06 50.5 4.37792348253e-06 5.68606932e-06 2.88842273924e-06 0.096567056 
1.378574 5.20086539151e-06 0.0 8.971674016 2.198213e-06 0.0 0.0 3.90766696 1.514387488e-07 1.83580196246e-06 9.918107664e-06 51.0 4.38308658786e-06 5.727881e-06 2.87991500443e-06 0.100777944 
1.400222 5.19137716253e-06 0.0 8.968303072 2.248079e-06 0.0 0.0 3.935768096 1.603706832e-07 1.83346330302e-06 1.020554432e-05 51.5 4.37495367117e-06 5.80758888e-06 2.88814490162e-06 0.104636456 
1.425311 5.2190200786e-06 0.0 9.075634432 2.266287e-06 0.0 0.0 4.008460184 1.604438104e-07 1.83090971344e-06 1.021588016e-05 52.0 4.32277372898e-06 5.88457588e-06 2.88088885979e-06 0.113591528 
1.504221 5.2371049358e-06 0.0 9.211494128 2.272784e-06 0.0 0.0 4.003142376 1.720117152e-07 1.84351991826e-06 1.02566536e-05 52.5 4.29863804958e-06 5.910874376e-06 2.8808026386e-06 0.117851664 
1.525243 5.24884964829e-06 0.0 9.25062296 2.342339e-06 0.0 0.0 3.98796748 2.170187832e-07 1.86608827033e-06 1.067899968e-05 53.0 4.29244538244e-06 5.987380936e-06 2.88224954377e-06 0.145896576 
1.535064 5.24414045747e-06 0.0 9.579014104 2.421018e-06 0.0 0.0 3.971104016 2.46087816e-07 1.87182656103e-06 1.091868832e-05 53.5 4.25892112501e-06 6.005326488e-06 2.88202057944e-06 0.176229688 
1.573979 5.23070156703e-06 0.0 9.61888204 2.429725e-06 0.0 0.0 4.002474208 3.271586768e-07 1.88059674011e-06 1.110146192e-05 54.0 4.23467301948e-06 5.994967224e-06 2.88820039713e-06 0.185291896 
1.604545 5.20976143093e-06 0.0 9.684312728 2.472034e-06 0.0 0.0 4.004038856 3.889752984e-07 1.87748433618e-06 1.13559028e-05 54.5 4.202763587e-06 5.9513868e-06 2.87147505967e-06 0.22484 
1.651884 5.21434403384e-06 0.0 9.509622368 2.584194e-06 0.0 0.0 4.057438592 4.31270252e-07 1.90823060796e-06 1.109830904e-05 55.0 4.1910516418e-06 5.864521488e-06 2.87688114833e-06 0.255908496 
1.714024 5.18145940064e-06 0.0 9.36283048 2.642554e-06 0.0 0.0 4.126227064 4.972054152e-07 1.95770358466e-06 1.090250568e-05 55.5 4.19609277567e-06 5.708105656e-06 2.90956134295e-06 0.306142664 
1.764094 5.16140778412e-06 0.0 9.073751176 2.703233e-06 0.0 0.0 4.101550512 5.748546088e-07 1.98148778601e-06 1.092785024e-05 56.0 4.16025612267e-06 5.5770562e-06 2.90014887837e-06 0.36886528 
1.777808 5.15218606874e-06 0.0 8.896875368 2.667316e-06 0.0 0.0 4.220552328 6.83039044e-07 1.99644997625e-06 1.078392896e-05 56.5 4.09012646582e-06 5.738246568e-06 2.87040558351e-06 0.414121416 
1.829342 5.07958614254e-06 0.0 9.32976076 2.653863e-06 0.0 0.0 4.217961216 7.462545008e-07 2.04340797921e-06 1.104456984e-05 57.0 4.09119466244e-06 5.715556728e-06 2.86545693669e-06 0.475413784 
1.874377 4.99883369555e-06 0.0 9.29459 2.754165e-06 0.0 0.0 4.310658968 8.24358552e-07 2.03407153919e-06 1.117675616e-05 57.5 4.01393814936e-06 5.783808072e-06 2.83763390143e-06 0.53144856 
1.927424 4.97940957825e-06 3.8036471381e-07 9.515395112 2.743583e-06 4.43204568e-08 0.037056704 4.664436184 8.452149232e-07 2.05147198402e-06 1.118060456e-05 58.0 3.96408607931e-06 6.047212904e-06 2.83101112021e-06 0.575924136 
1.926306 4.97329231747e-06 8.23509586442e-07 10.415657816 2.729815e-06 1.022044984e-07 0.063106552 4.880849136 8.79691356e-07 2.04215054134e-06 1.185686552e-05 58.5 3.92372882818e-06 6.225882944e-06 2.80038390104e-06 0.599907584 
1.907793 5.0109645619e-06 9.38364897685e-07 12.875649528 2.655179e-06 9.0879608e-08 0.075566 4.97969136 8.37021028e-07 2.0091375268e-06 1.269236736e-05 59.0 3.91690417274e-06 6.18520976e-06 2.76973140141e-06 0.574614512 
1.892584 4.98455828202e-06 6.56747714136e-07 13.248539256 2.514384e-06 8.02853624e-08 0.068228808 5.189581488 8.228779952e-07 1.96024099879e-06 1.270055208e-05 59.5 3.89362957023e-06 6.028513328e-06 2.70731516992e-06 0.599741536 
1.82435 5.02243583115e-06 6.08709299859e-07 14.483252624 2.387845e-06 8.72166428e-08 0.071519688 5.336353616 7.13262248e-07 1.92588996772e-06 1.320010792e-05 60.0 3.83482556433e-06 5.945503064e-06 2.66200509032e-06 0.527911704 
1.787959 5.02869073165e-06 4.71580326111e-07 14.812561616 2.348805e-06 6.5784948e-08 0.059078592 5.335519208 6.581169936e-07 1.89427327131e-06 1.344993536e-05 60.5 3.81653993944e-06 5.978969384e-06 2.60500839511e-06 0.466964384 
1.7077 5.02988656203e-06 4.02582811145e-07 14.396843408 2.282043e-06 6.460116176e-08 0.057343464 5.313791872 6.09215932e-07 1.87018466662e-06 1.334576448e-05 61.0 3.77428854414e-06 5.898513232e-06 2.58772795208e-06 0.430202192 
1.622212 5.04922472439e-06 4.22283183746e-07 13.912588952 2.175835e-06 4.971413376e-08 0.053925344 5.215489872 5.592811392e-07 1.87141770606e-06 1.315487344e-05 61.5 3.77781535709e-06 5.805495512e-06 2.54009690053e-06 0.387887096 
1.600204 5.02809160984e-06 3.06060892142e-07 13.586049824 2.080683e-06 1.216136008e-08 0.047223696 5.16952212 5.35307552e-07 1.85511837741e-06 1.284138304e-05 62.0 3.71967738469e-06 5.64562308e-06 2.49064459728e-06 0.37461568 
1.553853 5.02894459541e-06 2.49683874596e-07 13.299061056 1.982915e-06 1.1969812656e-08 0.041208816 5.156537224 5.000505592e-07 1.84586402948e-06 1.25684016e-05 62.5 3.72379406645e-06 5.56923332e-06 2.48164964796e-06 0.342948744 
1.497981 5.02812602095e-06 0.0 12.947667096 1.936175e-06 0.0 0.035295376 5.155500048 4.581075856e-07 1.83199374628e-06 1.210916576e-05 63.0 3.68192145774e-06 5.553731992e-06 2.43655348557e-06 0.342523256 
1.474507 5.02736802058e-06 0.0 12.538549656 1.881868e-06 0.0 0.030254288 5.160913344 4.142665856e-07 1.81808413241e-06 1.173765088e-05 63.5 3.67150655615e-06 5.476325256e-06 2.41073017951e-06 0.31562076 
1.431891 5.04328085025e-06 0.0 12.066920464 1.82358e-06 0.0 0.021128328 5.028252808 3.8083834e-07 1.81602649963e-06 1.130696176e-05 64.0 3.6798991949e-06 5.36048336e-06 2.39590833957e-06 0.298879608 
1.417818 5.0230994567e-06 0.0 11.667297864 1.728184e-06 0.0 0.008851 4.95403012 3.68270556e-07 1.81061877113e-06 1.084089264e-05 64.5 3.66652355666e-06 5.123205824e-06 2.37162697667e-06 0.268535656 
1.389778 5.02022392069e-06 0.0 11.308718872 1.707727e-06 0.0 0.0 4.866385456 3.492609408e-07 1.80228898825e-06 1.034461384e-05 65.0 3.64534809559e-06 5.050487392e-06 2.35811383465e-06 0.259861952 
1.34557 5.02329483025e-06 0.0 10.882367256 1.650809e-06 0.0 0.0 4.78336764 3.45464104e-07 1.79529310566e-06 9.930506072e-06 65.5 3.62196273356e-06 4.926652488e-06 2.33295830662e-06 0.253431128 
1.320014 5.02819709259e-06 0.0 10.487637744 1.584099e-06 0.0 0.0 4.628239712 3.23269976e-07 1.79536925227e-06 9.395038896e-06 66.0 3.61438957417e-06 4.769456464e-06 2.32613745896e-06 0.241775808 
1.261062 5.01038930063e-06 0.0 10.065402904 1.535749e-06 0.0 0.0 4.441689264 3.01326756e-07 1.79359186707e-06 8.888550496e-06 66.5 3.59999695977e-06 4.560300296e-06 2.32586729304e-06 0.229901 
1.236766 4.98938162158e-06 0.0 9.540341296 1.49333e-06 0.0 0.0 4.270833144 2.929149656e-07 1.7821935766e-06 8.618141e-06 67.0 3.57404222816e-06 4.364078288e-06 2.31979593087e-06 0.210572624 
1.215431 4.99113204324e-06 0.0 8.95099964 1.456433e-06 0.0 0.0 4.035282488 2.927032608e-07 1.77251011442e-06 8.163882144e-06 67.5 3.53461635876e-06 4.170135712e-06 2.30116478943e-06 0.204212216 
