z lipid2 substrate bME protein lipid1 headgroup2 headgroup2_2 headgroup2_3 normarea tetherg headgroup1_3 headgroup1_2 defect_hg methyl1 tether defect_hc methyl2 headgroup1 summol water waterperc
39.0 2.384378 7.371531 0.909341 0.015574 22.040533 0.0 0.0 0.0 45.119927 0.238777 0.0 0.046889 0.524381 2.80395 -1.647096 3.227496 3.394774 0.058279 41.368807 3.75112 0.0831366593301
39.5 2.979478 7.087966 0.888215 0.016259 20.894201 0.0 0.0 0.0 45.119927 0.181415 0.0 0.034755 0.524393 3.046999 -1.605596 3.245198 3.870912 0.043025 41.20722 3.912707 0.0867179372874
40.0 3.677331 6.811671 0.867003 0.017431 19.630403 0.0 0.0 0.0 45.119927 0.135823 0.0 0.025419 0.5244 3.262686 -1.559146 3.258806 4.350291 0.031338 41.033456 4.086471 0.0905690960005
40.5 4.483635 6.54264 0.845735 0.02789 18.273679 0.0 0.0 0.0 45.119927 0.100206 0.0 0.018342 0.524404 3.442541 -1.5093 3.269114 4.818662 0.022519 40.860067 4.25986 0.09441194353
41.0 5.401535 6.280855 0.824441 0.038467 16.85016 0.0 0.0 0.0 45.119927 0.072851 0.0 0.013058 0.524407 3.579182 -1.457315 3.276807 5.260634 0.015963 40.681045 4.438882 0.0983796361195
41.5 6.431097 6.026291 0.803149 0.049145 15.386784 1e-06 1e-06 0.0 45.119927 0.05219 0.0 0.00917 0.524408 3.666818 -1.40418 3.282464 5.660486 0.011163 40.498987 4.62094 0.102414616052
42.0 7.568912 5.778913 0.781888 0.059907 13.910435 1e-06 1e-06 0.0 45.119927 0.036844 0.0 0.006353 0.524409 3.701654 -1.350661 3.286562 6.003073 0.0077 40.315991 4.803936 0.106470385025
42.5 8.807855 5.538679 0.760683 0.070735 12.447039 3e-06 3e-06 0.0 45.119927 0.025631 0.0 0.004341 0.524409 3.682165 -1.297336 3.289488 6.274772 0.005239 40.133706 4.986221 0.110510395994
43.0 10.137062 5.305538 0.739562 0.081614 11.020702 5e-06 5e-06 0.0 45.119927 0.01757 0.0 0.002926 0.52441 3.609205 -1.244632 3.291545 6.464382 0.003516 39.95341 5.166517 0.114506324445
43.5 11.542119 5.079431 0.71855 0.092535 9.652921 1e-05 1e-05 0.0 45.119927 0.011869 0.0 0.001945 0.52441 3.485948 -1.192855 3.29297 6.563883 0.002327 39.776073 5.343854 0.118436672116
44.0 13.005496 4.860292 0.69767 0.103487 8.361936 1.8e-05 1.8e-05 0.0 45.119927 0.0079 0.0 0.001275 0.52441 3.317653 -1.14222 3.293942 6.569005 0.001519 39.602401 5.517526 0.122285791819
44.5 14.507177 4.648047 0.676948 0.114455 7.162266 3.2e-05 3.2e-05 0.0 45.119927 0.005182 0.0 0.000824 0.52441 3.111301 -1.092875 3.294593 6.479526 0.000978 39.432896 5.687031 0.126042557649
45.0 16.025476 4.442617 0.656405 0.125422 6.064453 5.7e-05 5.6e-05 0.0 45.119927 0.00335 0.0 0.000526 0.52441 2.875106 -1.044913 3.29502 6.299291 0.000621 39.267897 5.85203 0.129699456296
45.5 17.537967 4.243914 0.636062 0.136373 5.07502 0.0001 9.8e-05 0.0 45.119927 0.002134 0.0 0.00033 0.52441 2.617981 -0.99839 3.295292 6.035939 0.000389 39.107619 6.012308 0.133251722681
46.0 19.022466 4.051847 0.61594 0.147293 4.19664 0.000172 0.000169 0.0 45.119927 0.001339 0.0 0.000205 0.52441 2.348983 -0.953337 3.295455 5.700363 0.00024 38.952185 6.167742 0.136696630737
46.5 20.457997 3.866318 0.596058 0.158165 3.428482 0.000292 0.000287 0.0 45.119927 0.000828 0.0 0.000125 0.52441 2.076797 -0.909764 3.295539 5.305966 0.000146 38.801646 6.318281 0.140033050142
