135
0.192 0.7225 0.1667 0.1162 0.8679 0.0475 0.825 0.2931 0.4717 0.3988 0.6584 0.4985 0.336 0.056 0.2726 0.0565 0.2764 0.5196 0.92 0.7251 0.7535 0.2911 0.3259 0.2094 0.9668 0.2371 0.7739 0.5882 0.1325 0.6004 0.7374 0.1672 0.6359 0.4586 0.4221 0.3666 0.1985 0.9039 0.5431 0.5224 0.3556 0.8706 0.4494 0.7939 0.3864 0.5967 0.7337 0.8449 0.2324 0.4289 0.726 
0.351 0.8458 0.5869 0.3589 0.5447 0.9585 0.849 0.0037 0.2405 0.4751 0.1978 0.1171 0.1322 0.1715 0.6858 0.0805 0.8095 0.4579 0.509 0.609 0.6327 0.7141 0.004 0.8946 0.7942 0.504 0.072 0.2567 0.8981 0.3724 0.8167 0.0085 0.4017 0.8824 0.9639 0.486 0.7065 0.1596 0.6352 0.9423 0.861 0.0748 0.408 0.9304 0.7535 0.4599 0.6063 0.8107 0.6819 0.2684 0.1317 
0.3164 0.2458 0.5813 0.3709 0.0347 0.3659 0.409 0.0637 0.3515 0.9937 0.9231 0.0736 0.4846 0.0145 0.8854 0.0003 0.0301 0.3596 0.4035 0.1236 0.8405 0.212 0.0006 0.7018 0.1393 0.0885 0.0724 0.8799 0.3115 0.063 0.6525 0.4581 0.0523 0.0644 0.6863 0.902 0.8599 0.8744 0.4047 0.2232 0.351 0.1764 0.0847 0.9306 0.2 0.6854 0.9683 0.771 0.7901 0.9374 0.1493 
0.1668 0.259 0.6506 0.8465 0.8915 0.7576 0.4205 0.9068 0.757 0.9921 0.8462 0.6014 0.6735 0.7562 0.2916 0.3057 0.7909 0.4319 0.2227 0.0733 0.3915 0.2171 0.0591 0.3413 0.0159 0.1883 0.8242 0.8416 0.0757 0.927 0.6527 0.2066 0.0023 0.0001 0.5526 0.5086 0.9517 0.4689 0.007 0.6283 0.485 0.352 0.5844 0.9196 0.018 0.8441 0.2622 0.2152 0.3007 0.2328 0.5784 
0.3761 0.8532 0.3203 0.8556 0.2959 0.1707 0.9962 0.9568 0.7911 0.9781 0.7367 0.719 0.6815 0.9052 0.7911 0.9897 0.099 0.434 0.1521 0.0223 0.8402 0.9955 0.3859 0.7612 0.616 0.6498 0.2909 0.5742 0.9138 0.5023 0.1219 0.3682 0.6345 0.4076 0.0128 0.6441 0.8304 0.7523 0.5497 0.8984 0.2673 0.1826 0.103 0.2472 0.9053 0.7754 0.2726 0.1559 0.4723 0.2236 0.861 
0.3982 0.2182 0.1813 0.4526 0.4517 0.2223 0.5662 0.8286 0.0525 0.067 0.0238 0.4353 0.6191 0.0241 0.61 0.1227 0.429 0.285 0.8904 0.857 0.21 0.5091 0.3553 0.7568 0.0751 0.3872 0.2853 0.7234 0.623 0.0718 0.065 0.208 0.6874 0.7425 0.114 0.6828 0.1472 0.7594 0.3854 0.9493 0.4283 0.706 0.1904 0.9332 0.7093 0.8646 0.9891 0.2378 0.6354 0.3392 0.9466 
0.2455 0.3745 0.2213 0.4559 0.2227 0.9263 0.8392 0.5257 0.7207 0.7851 0.3148 0.1881 0.9322 0.4712 0.6864 0.0855 0.6094 0.3599 0.484 0.6191 0.533 0.6561 0.553 0.1816 0.1171 0.5559 0.2584 0.5736 0.8982 0.0985 0.8876 0.4497 0.7062 0.1755 0.3315 0.9755 0.9744 0.3206 0.5634 0.5284 0.6596 0.2896 0.6484 0.2927 0.7468 0.2258 0.16 0.2764 0.8789 0.2291 0.8264 
0.5992 0.4232 0.7344 0.6616 0.5234 0.7715 0.8279 0.8153 0.71 0.2495 0.2679 0.6621 0.1168 0.5626 0.3686 0.4875 0.8079 0.5304 0.053 0.7838 0.0718 0.0171 0.6697 0.7882 0.0742 0.4177 0.022 0.5537 0.5981 0.3924 0.9867 0.6403 0.8897 0.8894 0.9135 0.9894 0.0682 0.1694 0.8378 0.9425 0.0218 0.3748 0.1017 0.5423 0.6235 0.2592 0.3065 0.1706 0.4716 0.8788 0.3504 
0.202 0.3467 0.5812 0.3529 0.5247 0.3687 0.409 0.0937 0.5575 0.9957 0.9983 0.9331 0.4478 0.0115 0.9854 0.024 0.8029 0.9596 0.4135 0.1639 0.0213 0.8121 0 0.1551 0.9146 0.0885 0.0724 0.8793 0.3725 0 0.0527 0.4881 0.0493 0.2042 0.5493 0 0.9589 0.754 0 0.6232 0.378 0.1664 0.3847 0.9706 0 0.8731 0.2623 0.7752 0.1031 0.8374 0.7488 
0.2423 0.4618 0.4664 0.4842 0.5904 0.914 0.549 0.5058 0.9265 0.4709 0.7188 0.1565 0.1831 0.4796 0.6854 0.0895 0.6078 0.8188 0.4086 0.7149 0.132 0.6161 0.001 0.0216 0.7141 0.4074 0.072 0.8537 0.8482 0.3728 0.8263 0.9458 0.8018 0.5717 0.9434 0.3892 0.0832 0.7898 0.8358 0.9493 0.0323 0.8348 0.408 0.6325 0.9632 0.1592 0.3584 0.1757 0.6811 0.3589 0.1904 
0.5688 0.3718 0.262 0.7686 0.8339 0.8826 0.697 0.9216 0.875 0.1999 0.6752 0.456 0.8015 0.6436 0.7862 0.5785 0.9864 0.5095 0.2216 0.7653 0.1382 0.7628 0.5221 0.8264 0.5242 0.3541 0.5523 0.7491 0.7625 0.5119 0.0328 0.2353 0.2466 0.2338 0.1923 0.619 0.803 0.8793 0.0811 0.4129 0.5802 0.7837 0.6202 0.2976 0.1265 0.8345 0.9509 0.456 0.3271 0.6566 0.9326 
0.1735 0.9849 0.4442 0.3007 0.8989 0.9348 0.417 0.6318 0.4148 0.2788 0.8838 0.731 0.8606 0.0484 0.52 0.5284 0.033 0.0796 0.3349 0.695 0.9174 0.4759 0.012 0.5418 0.122 0.3285 0.092 0.5836 0.4905 0.6302 0.6022 0.967 0.8619 0.8262 0.6656 0.8436 0.196 0.4158 0.1114 0.9242 0.073 0.4791 0.8641 0.9286 0.0472 0.5579 0.1638 0.0387 0.3127 0.2054 0.1865 
