# bilayer.substrate_zaxis bilayer.substrate_area bilayer.substrate_msigma_area bilayer.substrate_psigma_area
1.290000000000000000e+02 0.000000000000000000e+00 5.669948821687377238e-01 5.308178694252573493e+00
1.295000000000000000e+02 0.000000000000000000e+00 5.700989758596967105e-01 5.388130321625639318e+00
1.300000000000000000e+02 0.000000000000000000e+00 5.894570389552449274e-01 5.444699542399521697e+00
1.305000000000000000e+02 0.000000000000000000e+00 6.337127873721607463e-01 5.486296321886869443e+00
1.310000000000000000e+02 0.000000000000000000e+00 6.520958823790427017e-01 5.513268732669511785e+00
1.315000000000000000e+02 0.000000000000000000e+00 6.984143185142627219e-01 5.606118424149299173e+00
1.320000000000000000e+02 0.000000000000000000e+00 7.871419105634391844e-01 5.850386999433619728e+00
1.325000000000000000e+02 0.000000000000000000e+00 8.225114711060830253e-01 5.998019401001406514e+00
1.330000000000000000e+02 0.000000000000000000e+00 8.148407151110994562e-01 5.953480978380366828e+00
1.335000000000000000e+02 0.000000000000000000e+00 8.100111213741996163e-01 6.473142966375866614e+00
1.340000000000000000e+02 0.000000000000000000e+00 8.532504052529221727e-01 6.963320192847749723e+00
1.345000000000000000e+02 0.000000000000000000e+00 8.998605289207225466e-01 7.338999131703300982e+00
1.350000000000000000e+02 0.000000000000000000e+00 9.496209614186781334e-01 7.786616840675397277e+00
1.355000000000000000e+02 0.000000000000000000e+00 9.402849276431037850e-01 8.350901909320469940e+00
1.360000000000000000e+02 0.000000000000000000e+00 8.640940656026437905e-01 8.834700131648100196e+00
1.365000000000000000e+02 0.000000000000000000e+00 7.933075006245177141e-01 9.201357610581906599e+00
1.370000000000000000e+02 0.000000000000000000e+00 7.284418171019950705e-01 9.377000494604772030e+00
1.375000000000000000e+02 0.000000000000000000e+00 6.718807508529992534e-01 9.507173990345766157e+00
1.380000000000000000e+02 0.000000000000000000e+00 6.398630257190248694e-01 9.611059542108783660e+00
1.385000000000000000e+02 0.000000000000000000e+00 6.097286080786019635e-01 9.685964781940478829e+00
